organism;checkin;antibiotic;diameter 6h;diameter 8h;diameter 12h;diameter 18h;phenotypes
Enterobacter cloacae;20296;Ciprofloxacin;25;27;28;29;";low level resistance"
Enterobacter cloacae;20296;Gentamicin;20;21;21;21;";wild-type"
Enterobacter cloacae;20296;Cefpodoxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;20296;Ceftriaxone;12;12;8;6;";AmpC hyperproduction"
Enterobacter cloacae;20296;Cefuroxime;7;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;20296;Cefepime;23;24;24;24;";AmpC hyperproduction"
Enterobacter cloacae;20296;Levofloxacin;23;24;25;25;";low level resistance"
Enterobacter cloacae;20296;Meropenem;28;29;30;27;";AmpC hyperproduction"
Enterobacter cloacae;20296;Minocyclin;12;12;7;7;";RND pump"
Enterobacter cloacae;20296;Naladixic acid;15;17;16;15;";low level resistance"
Enterobacter cloacae;20296;Norfloxacin;21;22;23;24;";low level resistance"
Enterobacter cloacae;20296;Tetracycline;16;17;17;6;";RND pump"
Enterobacter cloacae;20296;Temocillin;17;19;19;17;";AmpC hyperproduction"
Enterobacter cloacae;20296;Tobramycin;20;20;20;21;";wild-type"
Enterobacter cloacae;20296;Piperacillin/Tazobactam;14;15;11;9;";AmpC hyperproduction"
Enterobacter cloacae;20676;Ciprofloxacin;26;32;33;35;";wild-type"
Enterobacter cloacae;20676;Gentamicin;21;23;24;24;";wild-type"
Enterobacter cloacae;20676;Cefpodoxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;20676;Ceftriaxone;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;20676;Cefuroxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;20676;Cefepime;20;22;22;21;";AmpC hyperproduction"
Enterobacter cloacae;20676;Levofloxacin;27;31;33;34;";wild-type"
Enterobacter cloacae;20676;Meropenem;16;18;18;17;";AmpC hyperproduction"
Enterobacter cloacae;20676;Minocyclin;24;22;20;20;";wild-type"
Enterobacter cloacae;20676;Naladixic acid;24;26;26;25;";wild-type"
Enterobacter cloacae;20676;Norfloxacin;23;27;29;30;";wild-type"
Enterobacter cloacae;20676;Tetracycline;27;26;24;23;";wild-type"
Enterobacter cloacae;20676;Temocillin;16;19;19;18;";AmpC hyperproduction"
Enterobacter cloacae;20676;Tobramycin;21;23;24;24;";wild-type"
Enterobacter cloacae;20676;Piperacillin/Tazobactam;12;13;11;10;";AmpC hyperproduction"
Enterobacter cloacae;31081;Ciprofloxacin;28;28;29;29;";wild-type"
Enterobacter cloacae;31081;Gentamicin;18;19;20;19;";wild-type"
Enterobacter cloacae;31081;Cefpodoxime;6;7;7;6;";AmpC hyperproduction"
Enterobacter cloacae;31081;Ceftriaxone;20;19;18;18;";AmpC hyperproduction"
Enterobacter cloacae;31081;Cefuroxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;31081;Cefepime;28;29;30;29;";AmpC hyperproduction"
Enterobacter cloacae;31081;Levofloxacin;26;27;28;29;";wild-type"
Enterobacter cloacae;31081;Meropenem;26;26;27;27;";AmpC hyperproduction"
Enterobacter cloacae;31081;Minocyclin;19;18;18;17;";wild-type"
Enterobacter cloacae;31081;Naladixic acid;21;21;20;20;";wild-type"
Enterobacter cloacae;31081;Norfloxacin;26;26;27;28;";wild-type"
Enterobacter cloacae;31081;Tetracycline;23;22;22;22;";wild-type"
Enterobacter cloacae;31081;Temocillin;21;22;22;22;";AmpC hyperproduction"
Enterobacter cloacae;31081;Tobramycin;18;19;19;19;";wild-type"
Enterobacter cloacae;31081;Piperacillin/Tazobactam;20;21;21;21;";AmpC hyperproduction"
Enterobacter cloacae;31575;Ciprofloxacin;19;19;19;18;";high level resistance"
Enterobacter cloacae;31575;Gentamicin;10;10;7;7;";multiple mechanisms"
Enterobacter cloacae;31575;Cefpodoxime;6;6;6;6;";ESBL"
Enterobacter cloacae;31575;Ceftriaxone;11;10;9;9;";ESBL"
Enterobacter cloacae;31575;Cefuroxime;6;6;6;6;";ESBL"
Enterobacter cloacae;31575;Cefepime;18;18;18;18;";ESBL"
Enterobacter cloacae;31575;Levofloxacin;21;22;22;22;";high level resistance"
Enterobacter cloacae;31575;Meropenem;29;30;30;30;";ESBL"
Enterobacter cloacae;31575;Minocyclin;19;19;18;17;";wild-type"
Enterobacter cloacae;31575;Naladixic acid;17;16;15;7;";high level resistance"
Enterobacter cloacae;31575;Norfloxacin;19;19;19;19;";high level resistance"
Enterobacter cloacae;31575;Tetracycline;12;12;10;9;";Efflux NOT tetB"
Enterobacter cloacae;31575;Temocillin;21;23;23;23;";ESBL"
Enterobacter cloacae;31575;Tobramycin;13;12;11;8;";multiple mechanisms"
Enterobacter cloacae;31575;Piperacillin/Tazobactam;19;19;20;17;";ESBL"
Enterobacter cloacae;32124;Ciprofloxacin;29;30;31;32;";wild-type"
Enterobacter cloacae;32124;Gentamicin;19;20;21;21;";wild-type"
Enterobacter cloacae;32124;Cefpodoxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;32124;Ceftriaxone;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;32124;Cefuroxime;6;6;6;6;";AmpC hyperproduction"
Enterobacter cloacae;32124;Cefepime;21;21;20;20;";AmpC hyperproduction"
Enterobacter cloacae;32124;Levofloxacin;27;29;30;30;";wild-type"
Enterobacter cloacae;32124;Meropenem;26;26;26;27;";AmpC hyperproduction"
Enterobacter cloacae;32124;Minocyclin;21;20;19;19;";wild-type"
